model_name,model_type,hardware,iteration,inference_time_sec,avg_time_sec,min_time_sec,max_time_sec,median_time_sec,stddev_time_sec
resnet,onnx,CPU,1,4.5582,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,2,4.5457,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,3,4.5729,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,4,4.5567,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,5,4.5462,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,6,4.5978,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,7,4.5196,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,8,4.6043,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,9,4.9378,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,10,4.5839,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,11,4.6011,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,12,4.6028,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,13,4.5670,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,14,4.5960,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,15,4.5851,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,16,4.5724,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,17,4.6200,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,18,4.5664,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,19,4.6021,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,20,4.5854,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,21,4.5532,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,22,4.5731,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,23,4.5377,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,24,4.5755,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,25,4.5515,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,26,4.5592,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,27,4.5940,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,28,4.5577,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,29,4.5197,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,30,4.5577,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,31,4.5527,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,32,4.5662,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,33,4.5332,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,34,4.6117,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,35,4.6111,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,36,4.5849,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,37,4.5670,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,38,4.5701,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,39,4.5886,4.5691,4.4805,4.9378,4.5662,0.0482
