model_name,model_type,hardware,iteration,inference_time_sec,avg_time_sec,min_time_sec,max_time_sec,median_time_sec,stddev_time_sec
resnet,onnx,CPU,1,7.6715,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,2,7.7344,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,3,7.7136,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,4,7.7722,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,5,7.7500,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,6,7.7712,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,7,7.6760,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,8,7.6648,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,9,7.6780,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,10,7.7416,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,11,7.8233,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,12,7.8003,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,13,7.6129,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,14,7.7022,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,15,7.6959,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,16,7.6517,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,17,7.4962,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,18,7.6240,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,19,7.6463,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,20,7.6938,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,21,7.6944,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,22,7.6073,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,23,7.4710,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,24,7.6983,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,25,7.7561,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,26,7.7600,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,27,7.6485,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,28,7.7980,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,29,7.8136,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,30,7.6396,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,31,7.7860,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,32,7.7754,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,33,7.6723,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,34,7.7076,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,35,7.6219,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,36,7.6456,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,37,7.6496,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,38,7.6089,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,39,7.7373,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,40,7.5702,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,41,7.5677,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,42,7.5769,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,43,7.6687,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,44,7.5559,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,45,7.7127,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,46,7.4887,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,47,7.6607,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,48,7.8028,7.6547,7.4364,7.9055,7.6645,0.1053
