ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB
1745353962.3167577,96.6,7263,0,0.0,4.0
1745353963.3383625,32.5,7590,0,0.0,4.0
1745353964.3589368,52.7,8568,0,0.0,4.0
1745353965.385007,82.9,8798,0,0.0,4.0
1745353966.429537,98.8,8964,0,0.0,4.0
1745353967.4996982,97.5,10838,0,0.0,4.0
1745353968.558975,100.0,11046,0,0.0,4.0
1745353969.6195095,100.0,11425,0,0.0,4.0
1745353970.675937,100.0,11462,0,0.0,4.0
1745353971.731288,100.0,11513,0,0.0,4.0
1745353972.795724,99.9,11525,0,0.0,4.0
1745353973.860378,96.6,12018,0,0.0,4.0
1745353974.9023628,98.6,12196,0,0.0,4.0
1745353975.9722874,100.0,12852,0,0.0,4.0
1745353977.040478,99.9,13903,0,0.0,4.0
1745353978.1073978,100.0,13875,0,0.0,4.0
1745353979.1766436,100.0,13962,0,0.0,4.0
1745353980.240123,100.0,14070,0,0.0,4.0
1745353981.3082428,98.8,14177,0,0.0,4.0
1745353982.3448021,94.4,14325,0,0.0,4.0
1745353983.412279,100.0,14417,0,0.0,4.0
1745353984.4803963,100.0,14525,0,0.0,4.0
1745353985.5483794,100.0,14621,0,0.0,4.0
1745353986.61601,100.0,14704,0,0.0,4.0
1745353987.6884625,100.0,14771,0,0.0,4.0
1745353988.7509656,100.0,14816,0,0.0,4.0
1745353989.8127065,98.2,14804,0,0.0,4.0
1745353990.8468277,95.0,14838,0,0.0,4.0
1745353991.9170392,100.0,14830,0,0.0,4.0
1745353992.9824936,100.0,14849,0,0.0,4.0
1745353994.0661638,100.0,14858,0,0.0,4.0
1745353995.131986,100.0,14891,0,0.0,4.0
1745353996.2060103,100.0,14928,0,0.0,4.0
1745353997.269992,99.8,14923,0,0.0,4.0
1745353998.3394926,92.7,14973,0,0.0,4.0
1745353999.376516,80.8,15210,0,0.0,4.0
1745354000.46115,99.5,15207,0,0.0,4.0
1745354001.5207446,98.5,15323,0,0.0,4.0
1745354002.5760028,100.0,16135,0,0.0,4.0
1745354003.651174,100.0,16143,0,0.0,4.0
1745354004.7219658,100.0,16152,0,0.0,4.0
1745354005.788432,100.0,16148,0,0.0,4.0
1745354006.85621,100.0,16149,0,0.0,4.0
1745354007.9199347,98.3,16155,0,0.0,4.0
1745354008.9534264,92.2,16499,0,0.0,4.0
1745354010.0206895,100.0,16522,0,0.0,4.0
1745354011.1058035,100.0,16512,0,0.0,4.0
1745354012.178022,100.0,16512,0,0.0,4.0
1745354013.2439232,100.0,16662,0,0.0,4.0
1745354014.314602,100.0,16538,0,0.0,4.0
1745354015.3800647,97.4,16540,0,0.0,4.0
1745354016.4370952,100.0,16778,0,0.0,4.0
1745354017.5080638,100.0,16789,0,0.0,4.0
1745354018.5800686,100.0,16787,0,0.0,4.0
1745354019.648298,100.0,16852,0,0.0,4.0
1745354020.7266276,100.0,16823,0,0.0,4.0
1745354021.7915485,99.9,17153,0,0.0,4.0
1745354022.846184,92.5,17976,0,0.0,4.0
1745354023.8848176,87.8,17981,0,0.0,4.0
1745354024.9501214,100.0,18022,0,0.0,4.0
1745354026.0155816,100.0,18892,0,0.0,4.0
1745354027.0873575,100.0,18891,0,0.0,4.0
1745354028.1529992,100.0,18899,0,0.0,4.0
1745354029.220241,100.0,18899,0,0.0,4.0
1745354030.280495,100.0,18906,0,0.0,4.0
1745354031.3529994,94.9,19292,0,0.0,4.0
1745354032.390686,73.1,19272,0,0.0,4.0
1745354033.4307034,85.7,19259,0,0.0,4.0
1745354034.5069745,99.5,19259,0,0.0,4.0
1745354035.5831697,97.5,19256,0,0.0,4.0
1745354036.6659834,100.0,19259,0,0.0,4.0
1745354037.7324557,100.0,19359,0,0.0,4.0
1745354038.795966,100.0,19502,0,0.0,4.0
1745354039.8690689,100.0,19672,0,0.0,4.0
1745354040.9563067,100.0,19859,0,0.0,4.0
1745354042.024225,97.7,19961,0,0.0,4.0
1745354043.0565553,96.9,20381,0,0.0,4.0
1745354044.1438375,100.0,20783,0,0.0,4.0
1745354045.2066848,100.0,20782,0,0.0,4.0
1745354046.2765021,100.0,20776,0,0.0,4.0
1745354047.3533137,100.0,20919,0,0.0,4.0
1745354048.412823,100.0,21025,0,0.0,4.0
1745354049.5021536,95.2,21022,0,0.0,4.0
1745354050.5339522,94.6,21023,0,0.0,4.0
1745354051.6004887,100.0,21029,0,0.0,4.0
1745354052.6685617,100.0,21031,0,0.0,4.0
1745354053.7402375,100.0,21359,0,0.0,4.0
1745354054.8139856,100.0,21943,0,0.0,4.0
