ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB
1745347083.6953084,0.0,6516,0,0.0,4.0
1745347084.7204452,35.4,6699,0,0.0,4.0
1745347085.7490606,61.3,8407,0,0.0,4.0
1745347086.7769828,89.6,8953,0,0.0,4.0
1745347087.8189392,93.7,10485,0,0.0,4.0
1745347088.8474646,89.0,10774,0,0.0,4.0
1745347089.8890452,99.7,11652,0,0.0,4.0
1745347090.9407487,99.9,13042,0,0.0,4.0
1745347092.037997,99.9,13924,0,0.0,4.0
1745347093.1110418,100.0,14076,0,0.0,4.0
1745347094.174028,99.1,14897,0,0.0,4.0
1745347095.2399695,99.9,16101,0,0.0,4.0
1745347096.2947009,100.0,16475,0,0.0,4.0
1745347097.3857458,100.0,16475,0,0.0,4.0
1745347098.4375138,100.0,16511,0,0.0,4.0
1745347099.513809,100.0,16661,0,0.0,4.0
1745347100.598014,100.0,16875,0,0.0,4.0
1745347101.6721041,100.0,14281,0,0.0,4.0
1745347102.763395,100.0,16388,0,0.0,4.0
1745347103.843094,100.0,16913,0,0.0,4.0
1745347104.9196532,100.0,16389,0,0.0,4.0
1745347106.0071273,100.0,16745,0,0.0,4.0
1745347107.0754907,100.0,15778,0,0.0,4.0
1745347108.1591988,100.0,16158,0,0.0,4.0
1745347109.2112517,100.0,15377,0,0.0,4.0
1745347110.3057933,99.2,13991,0,0.0,4.0
1745347111.3610842,98.1,14241,0,0.0,4.0
1745347112.4101784,100.0,14459,0,0.0,4.0
1745347113.4943428,100.0,14867,0,0.0,4.0
1745347114.5672662,100.0,15289,0,0.0,4.0
1745347115.6260345,100.0,15383,0,0.0,4.0
1745347116.6955912,99.7,13896,0,0.0,4.0
1745347117.7861938,90.1,13102,0,0.0,4.0
1745347118.845173,89.1,12583,0,0.0,4.0
1745347119.9399757,99.1,11469,0,0.0,4.0
1745347120.9957411,100.0,11494,0,0.0,4.0
1745347122.0446668,82.2,10134,0,0.0,4.0
1745347123.0844734,79.3,9753,0,0.0,4.0
1745347124.1489003,98.6,11055,0,0.0,4.0
1745347125.2070117,99.9,11807,0,0.0,4.0
1745347126.2845078,99.9,11866,0,0.0,4.0
1745347127.3475473,97.3,13930,0,0.0,4.0
1745347128.4099898,97.8,13324,0,0.0,4.0
1745347129.498177,100.0,14810,0,0.0,4.0
1745347130.6281366,100.0,15051,0,0.0,4.0
1745347131.6860309,100.0,16452,0,0.0,4.0
1745347132.7780209,100.0,16865,0,0.0,4.0
1745347133.8459802,100.0,15721,0,0.0,4.0
1745347134.9156892,99.8,16274,0,0.0,4.0
1745347135.9811888,98.3,16059,0,0.0,4.0
1745347137.043451,100.0,16021,0,0.0,4.0
1745347138.1299949,100.0,17099,0,0.0,4.0
1745347139.1817887,100.0,17373,0,0.0,4.0
1745347140.2678676,100.0,17373,0,0.0,4.0
1745347141.3189268,100.0,17237,0,0.0,4.0
1745347142.3860462,99.1,16000,0,0.0,4.0
1745347143.455696,82.5,14870,0,0.0,4.0
1745347144.51977,94.8,13692,0,0.0,4.0
1745347145.6082451,100.0,14178,0,0.0,4.0
1745347146.7042687,100.0,14182,0,0.0,4.0
1745347147.7608376,100.0,14183,0,0.0,4.0
1745347148.832205,100.0,13809,0,0.0,4.0
1745347149.917674,98.9,14371,0,0.0,4.0
1745347150.9836984,92.6,13915,0,0.0,4.0
1745347152.0516562,99.0,15113,0,0.0,4.0
1745347153.121973,100.0,15478,0,0.0,4.0
1745347154.2031844,100.0,15575,0,0.0,4.0
1745347155.265992,100.0,14222,0,0.0,4.0
1745347156.3587139,93.3,13174,0,0.0,4.0
