ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB,gpu_mem_total_MiB
1745357285.3426418,0.0,4951,0,35.0,341.0,12288.0
1745357286.3672647,17.2,5257,0,100.0,5313.0,12288.0
1745357287.3903472,11.5,5324,0,100.0,5313.0,12288.0
1745357288.4185894,8.0,5384,0,100.0,5313.0,12288.0
1745357289.441261,11.3,5410,0,100.0,5313.0,12288.0
1745357290.466018,13.1,5450,0,100.0,5313.0,12288.0
1745357291.492066,48.2,5380,0,0.0,5313.0,12288.0
1745357292.539021,31.0,5372,0,0.0,5313.0,12288.0
1745357293.5597272,4.4,5369,0,0.0,5313.0,12288.0
1745357294.5868795,12.3,5368,0,100.0,5313.0,12288.0
1745357295.6072283,10.7,5419,0,100.0,5313.0,12288.0
1745357296.6273828,14.4,5408,0,80.0,5313.0,12288.0
1745357297.6480145,9.3,5358,0,0.0,5313.0,12288.0
1745357298.6682808,11.0,5390,0,100.0,5313.0,12288.0
1745357299.6892967,11.9,5414,0,100.0,5313.0,12288.0
1745357300.7096505,11.6,5468,0,3.0,5313.0,12288.0
1745357301.730408,10.2,5344,0,0.0,5313.0,12288.0
1745357302.7503374,9.5,5374,0,0.0,5313.0,12288.0
1745357303.7704105,13.1,5360,0,100.0,5313.0,12288.0
1745357304.7914705,12.2,5356,0,100.0,5313.0,12288.0
1745357305.8134923,15.4,5398,0,0.0,5313.0,12288.0
1745357306.8333569,9.7,5392,0,100.0,5313.0,12288.0
1745357307.8582942,12.0,5490,0,0.0,5313.0,12288.0
1745357308.8855011,11.5,5393,0,100.0,5313.0,12288.0
1745357309.9083166,11.0,5396,0,90.0,5313.0,12288.0
1745357310.9296694,9.7,5365,0,0.0,5313.0,12288.0
1745357311.9484751,6.6,5354,0,100.0,5313.0,12288.0
1745357312.9702575,12.7,5389,0,100.0,5313.0,12288.0
1745357313.9915237,12.5,5360,0,100.0,5313.0,12288.0
1745357315.013941,11.5,5337,0,0.0,5313.0,12288.0
1745357316.0334299,8.3,5347,0,100.0,5313.0,12288.0
1745357317.05389,11.4,5403,0,76.0,5313.0,12288.0
1745357318.0744538,9.5,5426,0,48.0,5313.0,12288.0
1745357319.094094,11.0,5405,0,0.0,5313.0,12288.0
1745357320.1130993,8.6,5403,0,100.0,5313.0,12288.0
1745357321.1347928,11.8,5394,0,100.0,5313.0,12288.0
1745357322.1564524,10.4,5369,0,100.0,5313.0,12288.0
1745357323.1764715,11.6,5353,0,0.0,5313.0,12288.0
1745357324.196056,1.7,5342,0,0.0,5313.0,12288.0
1745357325.2175722,9.2,5335,0,100.0,5313.0,12288.0
1745357326.2379425,10.9,5380,0,100.0,5313.0,12288.0
1745357327.2593048,11.7,5361,0,0.0,5313.0,12288.0
1745357328.2784681,12.6,5401,0,0.0,5313.0,12288.0
1745357329.2991972,50.6,5395,0,100.0,5313.0,12288.0
1745357330.3215704,19.6,5330,0,100.0,5313.0,12288.0
1745357331.343143,11.0,5412,0,0.0,5313.0,12288.0
1745357332.3630805,12.0,5362,0,0.0,5313.0,12288.0
1745357333.3885453,10.8,5354,0,100.0,5313.0,12288.0
1745357334.4094663,8.7,5343,0,100.0,5313.0,12288.0
1745357335.437704,7.2,5362,0,0.0,5313.0,12288.0
1745357336.461786,10.7,5359,0,100.0,5313.0,12288.0
1745357337.48733,10.5,5420,0,11.0,5313.0,12288.0
1745357338.5079439,13.0,5340,0,0.0,5313.0,12288.0
1745357339.5296285,10.1,5333,0,0.0,5313.0,12288.0
1745357340.5494373,7.4,5327,0,100.0,5313.0,12288.0
1745357341.5694737,10.4,5335,0,100.0,5313.0,12288.0
