ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB,gpu_mem_total_MiB
1745360338.5169706,0.0,4827,0,0.0,4.0,12288.0
1745360339.537068,32.4,5230,0,0.0,4.0,12288.0
1745360340.5607586,64.5,6899,0,0.0,4.0,12288.0
1745360341.5896678,91.7,7888,0,0.0,4.0,12288.0
1745360342.6183715,85.1,8159,0,0.0,4.0,12288.0
1745360343.6429358,98.2,9279,0,0.0,4.0,12288.0
1745360344.6859283,99.8,10236,0,0.0,4.0,12288.0
1745360345.7299879,99.7,10545,0,0.0,4.0,12288.0
1745360346.7765453,100.0,11920,0,0.0,4.0,12288.0
1745360347.8214293,100.0,12988,0,0.0,4.0,12288.0
1745360348.8854074,100.0,12413,0,0.0,4.0,12288.0
1745360349.9500408,100.0,12440,0,0.0,4.0,12288.0
1745360351.0398273,100.0,13186,0,0.0,4.0,12288.0
1745360352.1031852,100.0,12745,0,0.0,4.0,12288.0
1745360353.190104,100.0,11795,0,0.0,4.0,12288.0
1745360354.2537427,100.0,13196,0,0.0,4.0,12288.0
1745360355.3319414,100.0,13701,0,0.0,4.0,12288.0
1745360356.3837204,100.0,13287,0,0.0,4.0,12288.0
1745360357.4621665,100.0,13244,0,0.0,4.0,12288.0
1745360358.5619428,100.0,13685,0,0.0,4.0,12288.0
1745360359.6467156,100.0,13710,0,0.0,4.0,12288.0
1745360360.695287,100.0,12246,0,0.0,4.0,12288.0
1745360361.7614436,100.0,13193,0,0.0,4.0,12288.0
1745360362.8580015,100.0,13700,0,0.0,4.0,12288.0
1745360363.9194794,100.0,12343,0,0.0,4.0,12288.0
1745360364.9784327,100.0,12071,0,0.0,4.0,12288.0
1745360366.050057,100.0,12180,0,0.0,4.0,12288.0
1745360367.113993,98.7,11466,0,0.0,4.0,12288.0
1745360368.1838608,92.7,11227,0,0.0,4.0,12288.0
1745360369.2473834,99.9,10434,0,0.0,4.0,12288.0
1745360370.292054,100.0,9965,0,0.0,4.0,12288.0
1745360371.3598416,100.0,10555,0,0.0,4.0,12288.0
1745360372.414095,97.6,9548,0,0.0,4.0,12288.0
1745360373.4859092,92.4,8315,0,0.0,4.0,12288.0
1745360374.511794,84.3,8387,0,0.0,4.0,12288.0
1745360375.589002,97.7,10260,0,0.0,4.0,12288.0
1745360376.6404388,100.0,10305,0,0.0,4.0,12288.0
1745360377.7040372,100.0,10377,0,0.0,4.0,12288.0
1745360378.784974,100.0,10838,0,0.0,4.0,12288.0
1745360379.8339834,75.2,10014,0,0.0,4.0,12288.0
1745360380.897664,96.6,12389,0,0.0,4.0,12288.0
1745360381.9819152,100.0,13394,0,0.0,4.0,12288.0
1745360383.0614676,100.0,13410,0,0.0,4.0,12288.0
1745360384.1499488,100.0,13419,0,0.0,4.0,12288.0
1745360385.2348576,100.0,13259,0,0.0,4.0,12288.0
1745360386.304172,100.0,12773,0,0.0,4.0,12288.0
1745360387.3677018,86.5,11956,0,0.0,4.0,12288.0
1745360388.4412458,94.5,12742,0,0.0,4.0,12288.0
1745360389.5026476,100.0,13711,0,0.0,4.0,12288.0
1745360390.60614,100.0,13730,0,0.0,4.0,12288.0
1745360391.6911907,100.0,13731,0,0.0,4.0,12288.0
1745360392.7596622,100.0,13738,0,0.0,4.0,12288.0
1745360393.8271081,100.0,12803,0,0.0,4.0,12288.0
1745360394.8831136,88.3,12915,0,0.0,4.0,12288.0
1745360395.9221594,84.1,11387,0,0.0,4.0,12288.0
1745360396.989969,100.0,12134,0,0.0,4.0,12288.0
1745360398.0692484,100.0,12225,0,0.0,4.0,12288.0
1745360399.1491878,100.0,12165,0,0.0,4.0,12288.0
1745360400.2382684,100.0,12397,0,0.0,4.0,12288.0
