Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1745399025,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1745399026,1,POST,/api/v1/predict,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,391.14554109983146,391.14554109983146,391.14554109983146,391.14554109983146,7641.0
1745399026,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,391.14554109983146,391.14554109983146,391.14554109983146,391.14554109983146,7641.0
1745399027,2,POST,/api/v1/predict,0.000000,0.000000,390,390,390,390,390,390,390,390,390,390,390,1,0,391.14554109983146,391.14554109983146,391.14554109983146,391.14554109983146,7641.0
1745399027,2,POST,/api/v1/sky-replacement,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,846.7365060932934,846.7365060932934,846.7365060932934,846.7365060932934,409483.0
1745399027,2,,Aggregated,0.000000,0.000000,850,850,850,850,850,850,850,850,850,850,850,2,0,391.14554109983146,618.9410235965624,391.14554109983146,846.7365060932934,208562.0
1745399028,3,POST,/api/v1/predict,1.000000,0.000000,390,390,390,390,390,390,390,390,390,390,390,1,0,391.14554109983146,391.14554109983146,391.14554109983146,391.14554109983146,7641.0
1745399028,3,POST,/api/v1/sky-replacement,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,490.0,590.9300351049751,439.6552750840783,846.7365060932934,355493.0
1745399028,3,,Aggregated,1.000000,0.000000,490,490,850,850,850,850,850,850,850,850,850,4,0,440.0,540.9839116036892,391.14554109983146,846.7365060932934,268530.0
1745399029,4,POST,/api/v1/predict,0.500000,0.000000,390,390,390,390,390,390,390,390,390,390,390,2,0,190.0,289.35932856984437,187.57311603985727,391.14554109983146,6915.0
1745399029,4,POST,/api/v1/sky-replacement,0.000000,0.000000,510,510,510,510,510,510,510,510,510,510,510,4,0,490.0,569.8463643202558,439.6552750840783,846.7365060932934,359331.5
