ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB,gpu_mem_total_MiB
1745394108.920185,22.3,4722,0,0.0,4.0,12288.0
1745394109.9392116,29.6,5381,0,0.0,4.0,12288.0
1745394110.963706,58.6,5477,0,0.0,4.0,12288.0
1745394111.9880326,83.7,5733,0,0.0,4.0,12288.0
1745394113.0123775,94.9,6142,0,0.0,4.0,12288.0
1745394114.0493715,93.7,6568,0,0.0,4.0,12288.0
1745394115.0888162,85.2,7298,0,0.0,4.0,12288.0
1745394116.1395338,89.8,7528,0,0.0,4.0,12288.0
1745394117.1991942,92.7,8259,0,0.0,4.0,12288.0
1745394118.2448294,85.4,8175,0,0.0,4.0,12288.0
1745394119.2716992,81.3,8512,0,0.0,4.0,12288.0
1745394120.3083758,87.9,8444,0,0.0,4.0,12288.0
1745394121.3620143,92.8,9130,0,0.0,4.0,12288.0
1745394122.4459565,92.9,10318,0,0.0,4.0,12288.0
1745394123.517295,82.8,7856,0,0.0,4.0,12288.0
1745394124.5564377,84.8,7929,0,0.0,4.0,12288.0
1745394125.6074178,90.4,8966,0,0.0,4.0,12288.0
1745394126.638668,87.0,7801,0,0.0,4.0,12288.0
1745394127.696464,93.7,9711,0,0.0,4.0,12288.0
1745394128.7258146,84.1,9363,0,0.0,4.0,12288.0
1745394129.7865088,85.7,10210,0,0.0,4.0,12288.0
1745394130.8235922,86.4,8980,0,0.0,4.0,12288.0
1745394131.8720262,81.6,7378,0,0.0,4.0,12288.0
1745394132.907142,81.5,7457,0,0.0,4.0,12288.0
1745394133.9650817,73.8,7884,0,0.0,4.0,12288.0
1745394134.9997327,67.0,8791,0,0.0,4.0,12288.0
1745394136.0301046,84.9,8270,0,0.0,4.0,12288.0
1745394137.0922444,84.6,6752,0,0.0,4.0,12288.0
1745394138.1312833,78.3,6461,0,0.0,4.0,12288.0
1745394139.1811202,52.3,6193,0,0.0,4.0,12288.0
1745394140.2080297,66.7,6756,0,0.0,4.0,12288.0
1745394141.2528281,77.9,7198,0,0.0,4.0,12288.0
1745394142.2891035,80.9,8163,0,0.0,4.0,12288.0
1745394143.3178217,86.7,8241,0,0.0,4.0,12288.0
1745394144.360446,82.2,9000,0,0.0,4.0,12288.0
1745394145.3964787,81.3,7821,0,0.0,4.0,12288.0
1745394146.4418948,88.5,9582,0,0.0,4.0,12288.0
1745394147.4784124,86.6,9536,0,0.0,4.0,12288.0
