ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB,gpu_mem_total_MiB
1745416381.8484323,0.0,5751,0,26.0,558.0,12288.0
1745416382.8718598,16.7,6052,0,0.0,1220.0,12288.0
1745416383.8944817,8.2,6217,0,100.0,6220.0,12288.0
1745416384.9267063,17.7,6547,0,0.0,6882.0,12288.0
1745416385.9470184,20.5,6769,0,87.0,11882.0,12288.0
1745416386.9690177,24.1,6766,0,0.0,11882.0,12288.0
1745416387.9921188,22.9,6859,0,0.0,11882.0,12288.0
1745416389.0212193,23.1,6819,0,0.0,11882.0,12288.0
1745416390.0473814,19.8,6724,0,0.0,11882.0,12288.0
1745416391.0680711,22.1,6807,0,0.0,11882.0,12288.0
1745416392.0884032,20.0,7022,0,0.0,11882.0,12288.0
1745416393.1131148,23.4,7122,0,0.0,11882.0,12288.0
1745416394.1381612,21.8,6758,0,0.0,11882.0,12288.0
1745416395.1608734,17.6,6757,0,40.0,11882.0,12288.0
1745416396.183558,14.9,6760,0,0.0,11882.0,12288.0
1745416397.205183,16.3,6769,0,100.0,11882.0,12288.0
1745416398.228801,16.1,6779,0,0.0,11882.0,12288.0
1745416399.2482986,21.4,6855,0,0.0,11882.0,12288.0
1745416400.2682304,21.8,6843,0,0.0,11882.0,12288.0
1745416401.2905138,22.7,6949,0,0.0,11882.0,12288.0
1745416402.3189776,12.8,6749,0,0.0,11882.0,12288.0
1745416403.342356,16.6,6790,0,22.0,11882.0,12288.0
1745416404.3651795,14.1,6828,0,0.0,11882.0,12288.0
1745416405.390258,22.6,7175,0,0.0,11882.0,12288.0
1745416406.4169512,22.1,7115,0,16.0,11882.0,12288.0
1745416407.4469285,20.0,6825,0,0.0,11882.0,12288.0
1745416408.475324,18.3,6831,0,23.0,11882.0,12288.0
1745416409.4963212,11.3,7158,0,0.0,11882.0,12288.0
1745416410.522739,23.8,6797,0,81.0,11882.0,12288.0
1745416411.542545,23.0,6821,0,0.0,11882.0,12288.0
1745416412.5614505,21.9,6870,0,0.0,11882.0,12288.0
1745416413.5818286,22.9,6867,0,0.0,11882.0,12288.0
1745416414.6011367,21.1,6790,0,0.0,11882.0,12288.0
1745416415.6209724,21.3,6848,0,0.0,11882.0,12288.0
1745416416.6405993,23.8,6870,0,0.0,11882.0,12288.0
1745416417.6610866,21.6,6922,0,0.0,11882.0,12288.0
1745416418.6880488,22.5,6863,0,0.0,11882.0,12288.0
1745416419.7114801,19.1,6887,0,0.0,11882.0,12288.0
1745416420.7423177,18.0,6800,0,0.0,11882.0,12288.0
1745416421.7638073,19.5,6828,0,0.0,11882.0,12288.0
1745416422.7837558,17.9,6881,0,31.0,11882.0,12288.0
1745416423.807598,17.3,6833,0,0.0,11882.0,12288.0
1745416424.8291237,18.0,6853,0,68.0,11882.0,12288.0
1745416425.8530061,19.1,6935,0,28.0,11882.0,12288.0
1745416426.8766022,20.2,6927,0,19.0,11882.0,12288.0
1745416427.8965898,21.3,7083,0,0.0,11882.0,12288.0
1745416428.9188569,22.9,7147,0,0.0,11882.0,12288.0
1745416429.939878,23.5,6881,0,0.0,11882.0,12288.0
1745416430.9599202,21.3,6989,0,0.0,11882.0,12288.0
1745416431.9810183,14.2,6889,0,0.0,11882.0,12288.0
1745416433.0002358,14.7,6923,0,67.0,11882.0,12288.0
1745416434.0193014,24.1,6974,0,33.0,11882.0,12288.0
1745416435.0393748,23.0,7168,0,0.0,11882.0,12288.0
1745416436.0595305,21.9,7161,0,0.0,11882.0,12288.0
1745416437.0882092,21.6,6887,0,0.0,11882.0,12288.0
1745416438.1095614,15.8,6889,0,0.0,11882.0,12288.0
1745416439.1322966,6.9,6894,0,85.0,11882.0,12288.0
1745416440.157621,18.4,6955,0,39.0,11882.0,12288.0
1745416441.1850576,17.8,6879,0,100.0,11882.0,12288.0
1745416442.206021,21.5,6944,0,0.0,11882.0,12288.0
1745416443.2377264,14.8,6882,0,0.0,11882.0,12288.0
1745416444.2607474,17.5,6878,0,63.0,11882.0,12288.0
1745416445.286088,8.2,6873,0,0.0,11882.0,12288.0
1745416446.310811,16.2,6966,0,0.0,11882.0,12288.0
1745416447.3400557,17.4,7162,0,0.0,11882.0,12288.0
1745416448.362027,22.4,7176,0,0.0,11882.0,12288.0
1745416449.3867064,21.2,6890,0,0.0,11882.0,12288.0
1745416450.406167,20.7,6888,0,62.0,11882.0,12288.0
1745416451.4326224,13.2,6876,0,39.0,11882.0,12288.0
1745416452.4522076,18.0,6896,0,100.0,11882.0,12288.0
1745416453.4745314,14.9,6897,0,0.0,11882.0,12288.0
1745416454.493035,20.9,7181,0,29.0,11882.0,12288.0
1745416455.520628,16.4,6885,0,0.0,11882.0,12288.0
1745416456.5404007,12.7,7224,0,39.0,11882.0,12288.0
1745416457.562496,14.3,6885,0,0.0,11882.0,12288.0
1745416458.583227,17.5,7211,0,0.0,11882.0,12288.0
1745416459.6089199,18.1,6893,0,0.0,11882.0,12288.0
1745416460.6280935,37.4,6950,0,0.0,11882.0,12288.0
1745416461.683387,29.0,6953,0,100.0,11882.0,12288.0
1745416462.71436,30.2,7012,0,0.0,11882.0,12288.0
1745416463.742478,21.0,6888,0,0.0,11882.0,12288.0
1745416464.7614884,16.2,6892,0,100.0,11882.0,12288.0
1745416465.7885196,20.8,6893,0,0.0,11882.0,12288.0
1745416466.8092453,24.4,7034,0,0.0,11882.0,12288.0
1745416467.8306608,23.3,6980,0,26.0,11882.0,12288.0
1745416468.8501775,22.4,7007,0,0.0,11882.0,12288.0
1745416469.8755894,18.6,6912,0,0.0,11882.0,12288.0
1745416470.8951252,16.4,6913,0,0.0,11882.0,12288.0
1745416471.9145172,16.6,6906,0,0.0,11882.0,12288.0
1745416472.9340532,17.4,6899,0,0.0,11882.0,12288.0
1745416473.9535835,5.5,6861,0,19.0,11882.0,12288.0
1745416474.9731379,23.9,7164,0,100.0,11882.0,12288.0
1745416476.0063148,22.0,6919,0,0.0,11882.0,12288.0
1745416477.0251458,22.4,6941,0,0.0,11882.0,12288.0
1745416478.044569,21.8,6897,0,0.0,11882.0,12288.0
1745416479.0636036,11.9,6879,0,0.0,11882.0,12288.0
1745416480.0848904,8.0,6880,0,0.0,11882.0,12288.0
1745416481.112546,10.3,7205,0,0.0,11882.0,12288.0
1745416482.1366472,15.3,6885,0,100.0,11882.0,12288.0
1745416483.1609836,21.7,6884,0,0.0,11882.0,12288.0
1745416484.1807327,13.1,6933,0,0.0,11882.0,12288.0
1745416485.2007666,18.2,6878,0,0.0,11882.0,12288.0
1745416486.2207186,14.2,6881,0,0.0,11882.0,12288.0
1745416487.2416146,11.3,6878,0,88.0,11882.0,12288.0
1745416488.2672985,21.0,7191,0,0.0,11882.0,12288.0
1745416489.288368,22.5,6978,0,0.0,11882.0,12288.0
1745416490.308112,22.1,6970,0,41.0,11882.0,12288.0
1745416491.3290584,22.3,6901,0,0.0,11882.0,12288.0
1745416492.348473,18.0,6902,0,0.0,11882.0,12288.0
1745416493.367323,16.4,6878,0,0.0,11882.0,12288.0
1745416494.3887696,22.6,6924,0,100.0,11882.0,12288.0
1745416495.4118772,23.3,7174,0,0.0,11882.0,12288.0
1745416496.4362922,21.6,6967,0,0.0,11882.0,12288.0
1745416497.4585912,20.5,6901,0,0.0,11882.0,12288.0
1745416498.4784274,21.1,6899,0,0.0,11882.0,12288.0
1745416499.4991324,12.3,6925,0,0.0,11882.0,12288.0
1745416500.5199003,18.2,6961,0,65.0,11882.0,12288.0
1745416501.541501,24.1,7196,0,0.0,11882.0,12288.0
1745416502.56239,22.6,6916,0,5.0,11882.0,12288.0
1745416503.5844085,21.9,6987,0,29.0,11882.0,12288.0
1745416504.6118276,22.7,6925,0,0.0,11882.0,12288.0
1745416505.6316268,23.4,6930,0,3.0,11882.0,12288.0
1745416506.651989,22.8,6952,0,0.0,11882.0,12288.0
1745416507.6719542,24.3,6969,0,42.0,11882.0,12288.0
1745416508.693131,23.5,6987,0,100.0,11882.0,12288.0
1745416509.715414,21.9,6938,0,0.0,11882.0,12288.0
1745416510.7357981,23.4,6973,0,0.0,11882.0,12288.0
1745416511.7557354,22.5,6958,0,0.0,11882.0,12288.0
1745416512.774274,23.0,6944,0,0.0,11882.0,12288.0
1745416513.7939181,22.2,6948,0,0.0,11882.0,12288.0
1745416514.8129814,19.3,6936,0,0.0,11882.0,12288.0
1745416515.832575,22.0,7262,0,0.0,11882.0,12288.0
1745416516.8530831,22.0,6981,0,0.0,11882.0,12288.0
1745416517.87377,22.6,7066,0,24.0,11882.0,12288.0
1745416518.9000752,23.3,6986,0,100.0,11882.0,12288.0
1745416519.9218411,23.2,7022,0,0.0,11882.0,12288.0
1745416520.9421475,22.4,7169,0,6.0,11882.0,12288.0
1745416521.9690871,20.2,7006,0,0.0,11882.0,12288.0
1745416522.9886396,22.7,7081,0,48.0,11882.0,12288.0
1745416524.0184853,22.5,7077,0,0.0,11882.0,12288.0
1745416525.0435169,21.6,7019,0,0.0,11882.0,12288.0
1745416526.0621727,24.6,7014,0,100.0,11882.0,12288.0
1745416527.082241,22.0,6998,0,0.0,11882.0,12288.0
1745416528.1017723,24.5,7016,0,100.0,11882.0,12288.0
1745416529.1261764,26.0,7142,0,0.0,11882.0,12288.0
1745416530.149676,25.1,7010,0,0.0,11882.0,12288.0
1745416531.1688027,21.8,7044,0,0.0,11882.0,12288.0
1745416532.1877043,23.9,7030,0,0.0,11882.0,12288.0
1745416533.2074373,23.1,7211,0,0.0,11882.0,12288.0
1745416534.2300735,21.0,7004,0,0.0,11882.0,12288.0
1745416535.2488701,23.8,7028,0,78.0,11882.0,12288.0
1745416536.2686653,21.9,7199,0,0.0,11882.0,12288.0
1745416537.2889628,22.0,7068,0,12.0,11882.0,12288.0
1745416538.31055,21.1,7029,0,40.0,11882.0,12288.0
1745416539.329555,20.7,7032,0,100.0,11882.0,12288.0
1745416540.3507655,23.4,7382,0,0.0,11882.0,12288.0
1745416541.3715978,24.0,7064,0,0.0,11882.0,12288.0
1745416542.3910155,22.8,7349,0,0.0,11882.0,12288.0
1745416543.4133928,23.6,7058,0,0.0,11882.0,12288.0
1745416544.4386063,22.1,7130,0,0.0,11882.0,12288.0
1745416545.475927,21.5,7205,0,0.0,11882.0,12288.0
1745416546.51688,24.2,7248,0,0.0,11882.0,12288.0
1745416547.5411282,23.4,7040,0,39.0,11882.0,12288.0
1745416548.5621202,22.2,7000,0,0.0,11882.0,12288.0
1745416549.5833278,22.4,7013,0,32.0,11882.0,12288.0
1745416550.6040015,23.3,7004,0,65.0,11882.0,12288.0
1745416551.624926,15.4,6955,0,71.0,11882.0,12288.0
1745416552.6463938,20.3,6971,0,98.0,11882.0,12288.0
1745416553.669863,23.3,6985,0,100.0,11882.0,12288.0
1745416554.6982212,21.9,7078,0,0.0,11882.0,12288.0
1745416555.7235866,22.0,7025,0,0.0,11882.0,12288.0
1745416556.7430813,21.7,6996,0,0.0,11882.0,12288.0
1745416557.7642336,22.1,6982,0,0.0,11882.0,12288.0
1745416558.7829876,19.7,6989,0,0.0,11882.0,12288.0
1745416559.8040416,21.1,6982,0,0.0,11882.0,12288.0
1745416560.8248553,24.4,6993,0,0.0,11882.0,12288.0
1745416561.84647,21.5,7000,0,41.0,11882.0,12288.0
1745416562.8674176,23.3,7293,0,0.0,11882.0,12288.0
1745416563.89007,22.4,7000,0,0.0,11882.0,12288.0
1745416564.9090595,20.9,6982,0,41.0,11882.0,12288.0
1745416565.9287014,22.8,6950,0,30.0,11882.0,12288.0
1745416566.9491558,14.2,6953,0,40.0,11882.0,12288.0
1745416567.970291,18.1,7063,0,55.0,11882.0,12288.0
1745416568.9982667,17.1,6959,0,0.0,11882.0,12288.0
1745416570.017682,21.8,7001,0,0.0,11882.0,12288.0
1745416571.0401182,22.3,7114,0,0.0,11882.0,12288.0
1745416572.06175,17.8,7364,0,0.0,11882.0,12288.0
1745416573.0885043,22.9,7344,0,20.0,11882.0,12288.0
1745416574.1113157,15.2,7064,0,0.0,11882.0,12288.0
1745416575.1308622,19.7,7663,0,0.0,11882.0,12288.0
1745416576.1537912,22.4,7094,0,0.0,11882.0,12288.0
1745416577.1739583,21.6,7138,0,0.0,11882.0,12288.0
1745416578.1938756,22.7,7232,0,0.0,11882.0,12288.0
1745416579.2227528,21.5,7419,0,0.0,11882.0,12288.0
1745416580.245314,20.4,7079,0,0.0,11882.0,12288.0
1745416581.2661583,23.3,7129,0,0.0,11882.0,12288.0
1745416582.2877848,23.3,7287,0,0.0,11882.0,12288.0
1745416583.3108,21.4,7192,0,0.0,11882.0,12288.0
1745416584.3306267,23.0,7151,0,66.0,11882.0,12288.0
1745416585.3544705,22.8,7453,0,0.0,11882.0,12288.0
