ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB,gpu_mem_total_MiB
1745401360.715233,76.9,8736,0,0.0,4.0,12288.0
1745401361.7421641,41.9,9364,0,0.0,4.0,12288.0
1745401362.7696745,61.2,9527,0,0.0,4.0,12288.0
1745401363.8023474,70.3,9465,0,0.0,4.0,12288.0
1745401364.8324273,61.3,9979,0,0.0,4.0,12288.0
1745401365.8748493,99.3,10133,0,0.0,4.0,12288.0
1745401366.9440606,99.5,11085,0,0.0,4.0,12288.0
1745401368.018128,98.9,10642,0,0.0,4.0,12288.0
1745401369.071401,97.9,11185,0,0.0,4.0,12288.0
1745401370.1668577,98.9,11186,0,0.0,4.0,12288.0
1745401371.2250154,96.6,10937,0,0.0,4.0,12288.0
1745401372.2750342,96.2,8929,0,0.0,4.0,12288.0
1745401373.3690553,96.7,8642,0,0.0,4.0,12288.0
1745401374.4296618,96.7,8658,0,0.0,4.0,12288.0
1745401375.5115895,97.2,9943,0,0.0,4.0,12288.0
1745401376.5504997,88.0,9312,0,0.0,4.0,12288.0
1745401377.6250796,85.2,9992,0,0.0,4.0,12288.0
1745401378.6544569,90.0,9912,0,0.0,4.0,12288.0
1745401379.7100627,96.9,10799,0,0.0,4.0,12288.0
1745401380.7635949,97.7,11704,0,0.0,4.0,12288.0
1745401381.8245654,92.9,11668,0,0.0,4.0,12288.0
1745401382.8559968,89.4,11840,0,0.0,4.0,12288.0
1745401383.905812,78.5,9996,0,0.0,4.0,12288.0
1745401384.9669015,88.9,9141,0,0.0,4.0,12288.0
1745401386.0411198,88.4,8143,0,0.0,4.0,12288.0
1745401387.0676103,58.1,7534,0,0.0,4.0,12288.0
1745401388.0960486,27.0,7005,0,0.0,4.0,12288.0
1745401389.1225243,57.0,7018,0,0.0,4.0,12288.0
1745401390.147619,52.3,7131,0,0.0,4.0,12288.0
1745401391.2026024,83.2,7540,0,0.0,4.0,12288.0
1745401392.2383976,78.2,7913,0,0.0,4.0,12288.0
1745401393.2972548,97.9,7985,0,0.0,4.0,12288.0
1745401394.3596904,97.4,8387,0,0.0,4.0,12288.0
1745401395.4250844,93.4,8023,0,0.0,4.0,12288.0
1745401396.4765177,93.3,8138,0,0.0,4.0,12288.0
1745401397.5127282,95.4,8369,0,0.0,4.0,12288.0
1745401398.5772316,93.8,9145,0,0.0,4.0,12288.0
1745401399.6296766,87.1,8773,0,0.0,4.0,12288.0
1745401400.6603959,97.8,10116,0,0.0,4.0,12288.0
1745401401.7008493,95.2,9514,0,0.0,4.0,12288.0
1745401402.8094902,96.0,10061,0,0.0,4.0,12288.0
1745401403.8868275,82.7,9446,0,0.0,4.0,12288.0
1745401404.9421961,89.8,10625,0,0.0,4.0,12288.0
1745401405.9996076,93.9,8984,0,0.0,4.0,12288.0
1745401407.0696065,92.2,9158,0,0.0,4.0,12288.0
1745401408.1078815,79.4,7851,0,0.0,4.0,12288.0
1745401409.1337516,37.0,7155,0,0.0,4.0,12288.0
1745401410.1606307,70.2,7314,0,0.0,4.0,12288.0
1745401411.244013,90.8,7837,0,0.0,4.0,12288.0
1745401412.291169,65.3,7503,0,0.0,4.0,12288.0
1745401413.3191464,86.3,7858,0,0.0,4.0,12288.0
1745401414.3854153,92.2,8199,0,0.0,4.0,12288.0
1745401415.4371684,90.9,8380,0,0.0,4.0,12288.0
1745401416.4796348,98.7,8207,0,0.0,4.0,12288.0
1745401417.5379941,98.1,8997,0,0.0,4.0,12288.0
1745401418.5941226,92.0,8767,0,0.0,4.0,12288.0
1745401419.6244235,84.8,8849,0,0.0,4.0,12288.0
