ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB,gpu_mem_total_MiB
1745402156.664879,81.2,6926,0,16.0,297.0,12288.0
1745402157.686882,26.2,7585,0,33.0,779.0,12288.0
1745402158.7127736,13.9,7344,0,34.0,779.0,12288.0
1745402159.7329419,21.1,7660,0,0.0,779.0,12288.0
1745402160.7560582,25.7,7617,0,0.0,5457.0,12288.0
1745402161.7909443,55.4,7536,0,0.0,5457.0,12288.0
1745402162.812188,21.5,7591,0,0.0,5457.0,12288.0
1745402163.8345995,23.0,7638,0,0.0,5457.0,12288.0
1745402164.8581312,23.0,7468,0,99.0,5457.0,12288.0
1745402165.8803682,22.1,7489,0,0.0,5457.0,12288.0
1745402166.902713,22.1,7520,0,0.0,5457.0,12288.0
1745402167.922802,21.2,7495,0,0.0,5457.0,12288.0
1745402168.9432788,21.6,7630,0,0.0,5457.0,12288.0
1745402169.9667802,20.2,7484,0,25.0,5457.0,12288.0
1745402170.988898,25.8,7761,0,0.0,5457.0,12288.0
1745402172.0124059,21.2,7557,0,0.0,5457.0,12288.0
1745402173.033946,21.5,7604,0,0.0,5457.0,12288.0
1745402174.054218,23.6,8046,0,0.0,5457.0,12288.0
1745402175.0770102,14.5,4846,0,0.0,5457.0,12288.0
1745402176.099088,17.7,4900,0,0.0,5457.0,12288.0
1745402177.1193342,11.2,4943,0,0.0,5457.0,12288.0
1745402178.140108,13.0,4992,0,0.0,5457.0,12288.0
1745402179.162671,11.9,4894,0,0.0,5457.0,12288.0
1745402180.1826253,12.8,4966,0,0.0,5457.0,12288.0
1745402181.2062519,11.9,4850,0,0.0,5457.0,12288.0
1745402182.2289026,11.9,4863,0,0.0,5457.0,12288.0
1745402183.2491465,11.2,4854,0,62.0,5457.0,12288.0
1745402184.2703254,11.5,4852,0,0.0,5457.0,12288.0
1745402185.290272,11.7,4846,0,35.0,5457.0,12288.0
1745402186.311636,7.5,4886,0,0.0,5457.0,12288.0
1745402187.3323085,14.1,4841,0,0.0,5457.0,12288.0
1745402188.3531446,11.3,4867,0,0.0,5457.0,12288.0
1745402189.3736165,10.6,4919,0,0.0,5457.0,12288.0
1745402190.4021308,13.0,4834,0,0.0,5457.0,12288.0
1745402191.4219112,15.1,4835,0,100.0,5457.0,12288.0
1745402192.4465492,12.0,4929,0,0.0,5457.0,12288.0
1745402193.4676428,11.0,4971,0,0.0,5457.0,12288.0
1745402194.4972663,12.8,4890,0,100.0,5457.0,12288.0
1745402195.5209703,12.2,4854,0,12.0,5457.0,12288.0
1745402196.544929,12.6,4861,0,100.0,5457.0,12288.0
1745402197.5705097,14.1,4916,0,0.0,5457.0,12288.0
1745402198.5939476,11.3,4998,0,0.0,5457.0,12288.0
1745402199.625215,11.5,4897,0,0.0,5457.0,12288.0
1745402200.6517496,13.5,5187,0,0.0,5457.0,12288.0
1745402201.6751049,12.0,4890,0,0.0,5457.0,12288.0
1745402202.6977954,11.5,5018,0,0.0,5457.0,12288.0
1745402203.7249372,12.7,5190,0,0.0,5457.0,12288.0
1745402204.7495751,11.5,4923,0,0.0,5457.0,12288.0
1745402205.7708058,12.1,4915,0,0.0,5457.0,12288.0
1745402206.7901392,15.4,4916,0,0.0,5457.0,12288.0
1745402207.8105428,11.6,4921,0,0.0,5457.0,12288.0
1745402208.8312266,12.0,4920,0,0.0,5457.0,12288.0
1745402209.851782,12.1,4918,0,0.0,5457.0,12288.0
1745402210.875435,11.1,4917,0,0.0,5457.0,12288.0
1745402211.8951976,5.5,5106,0,11.0,5457.0,12288.0
1745402212.9179544,12.9,4919,0,0.0,5457.0,12288.0
1745402213.943833,8.0,4880,0,0.0,5457.0,12288.0
1745402214.9662416,7.9,4877,0,31.0,5457.0,12288.0
1745402215.9917746,12.5,4958,0,100.0,5457.0,12288.0
1745402217.02338,11.7,4930,0,0.0,5457.0,12288.0
1745402218.0446668,12.9,4946,0,0.0,5457.0,12288.0
1745402219.06607,12.8,4922,0,100.0,5457.0,12288.0
1745402220.0870621,11.5,5099,0,0.0,5457.0,12288.0
1745402221.110794,15.9,4901,0,0.0,5457.0,12288.0
1745402222.130992,11.8,4914,0,0.0,5457.0,12288.0
1745402223.151558,10.7,4912,0,40.0,5457.0,12288.0
1745402224.172385,13.8,5025,0,0.0,5457.0,12288.0
1745402225.1942458,11.8,5229,0,0.0,5457.0,12288.0
1745402226.2162793,11.9,4951,0,100.0,5457.0,12288.0
1745402227.2410543,13.6,4966,0,0.0,5457.0,12288.0
1745402228.2622788,26.9,4970,0,0.0,5457.0,12288.0
1745402229.2827637,12.7,4967,0,0.0,5457.0,12288.0
1745402230.304286,13.0,5007,0,0.0,5457.0,12288.0
1745402231.324599,11.1,5040,0,0.0,5457.0,12288.0
1745402232.3542178,12.6,4968,0,0.0,5457.0,12288.0
1745402233.374469,11.7,4963,0,0.0,5457.0,12288.0
1745402234.3933396,12.4,5023,0,0.0,5457.0,12288.0
1745402235.4144924,12.3,5245,0,0.0,5457.0,12288.0
1745402236.4371197,16.5,4962,0,0.0,5457.0,12288.0
1745402237.4613957,11.4,4959,0,0.0,5457.0,12288.0
