ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB,gpu_mem_total_MiB
1745407382.7298393,11.2,4611,0,0.0,4.0,12288.0
1745407383.7497022,30.3,4911,0,0.0,4.0,12288.0
1745407384.769872,25.1,5046,0,0.0,4.0,12288.0
1745407385.7939138,48.3,5330,0,0.0,4.0,12288.0
1745407386.814103,34.2,5330,0,0.0,4.0,12288.0
1745407387.837902,49.1,6003,0,0.0,4.0,12288.0
1745407388.8912022,92.6,6352,0,0.0,4.0,12288.0
1745407389.9395015,68.5,6761,0,0.0,4.0,12288.0
1745407390.9677262,65.2,6471,0,0.0,4.0,12288.0
1745407392.0011625,75.0,6473,0,0.0,4.0,12288.0
1745407393.0381951,81.3,6469,0,0.0,4.0,12288.0
1745407394.0706022,71.9,6716,0,0.0,4.0,12288.0
1745407395.098014,78.1,7757,0,0.0,4.0,12288.0
1745407396.1280687,76.7,8275,0,0.0,4.0,12288.0
1745407397.173704,91.3,8719,0,0.0,4.0,12288.0
1745407398.2103689,68.5,8989,0,0.0,4.0,12288.0
1745407399.2472053,67.7,8940,0,0.0,4.0,12288.0
1745407400.2832658,68.6,8898,0,0.0,4.0,12288.0
1745407401.3216777,68.8,9159,0,0.0,4.0,12288.0
1745407402.349226,75.8,10381,0,0.0,4.0,12288.0
1745407403.377259,60.1,10728,0,0.0,4.0,12288.0
1745407404.4058068,60.5,11859,0,0.0,4.0,12288.0
1745407405.432471,12.3,11877,0,0.0,4.0,12288.0
1745407406.458184,10.7,11839,0,0.0,4.0,12288.0
1745407407.4841,42.8,11839,0,0.0,4.0,12288.0
1745407408.5186782,63.0,11839,0,0.0,4.0,12288.0
1745407409.5478282,61.7,11833,0,0.0,4.0,12288.0
1745407410.5785165,72.7,11813,0,0.0,4.0,12288.0
1745407411.6073499,66.9,11913,0,0.0,4.0,12288.0
1745407412.6410248,51.9,12098,0,0.0,4.0,12288.0
1745407413.6685371,12.6,11813,0,0.0,4.0,12288.0
1745407414.6938107,11.8,12156,0,0.0,4.0,12288.0
1745407415.7204955,35.8,11818,0,0.0,4.0,12288.0
1745407416.7443984,29.1,11820,0,0.0,4.0,12288.0
1745407417.7758143,48.9,11823,0,0.0,4.0,12288.0
1745407418.802284,42.3,11825,0,0.0,4.0,12288.0
1745407419.8361363,60.1,11806,0,0.0,4.0,12288.0
1745407420.8750997,49.1,11811,0,0.0,4.0,12288.0
1745407421.9026399,67.4,11830,0,0.0,4.0,12288.0
1745407422.9519272,71.0,11818,0,0.0,4.0,12288.0
1745407423.9892213,63.1,11824,0,0.0,4.0,12288.0
1745407425.0222566,69.2,11865,0,0.0,4.0,12288.0
1745407426.0651197,71.6,11902,0,0.0,4.0,12288.0
1745407427.1105335,74.8,11909,0,0.0,4.0,12288.0
1745407428.1566005,70.1,11905,0,0.0,4.0,12288.0
1745407429.1989858,71.1,11946,0,0.0,4.0,12288.0
1745407430.2409284,64.3,11905,0,0.0,4.0,12288.0
1745407431.2711098,49.9,11909,0,0.0,4.0,12288.0
1745407432.3021483,30.3,11903,0,0.0,4.0,12288.0
1745407433.326873,10.8,11917,0,0.0,4.0,12288.0
1745407434.3528972,55.9,11863,0,0.0,4.0,12288.0
1745407435.39125,70.9,11868,0,0.0,4.0,12288.0
1745407436.4222155,69.6,11903,0,0.0,4.0,12288.0
1745407437.465029,72.1,11986,0,0.0,4.0,12288.0
1745407438.5137815,94.6,12166,0,0.0,4.0,12288.0
1745407439.5482998,79.9,12765,0,0.0,4.0,12288.0
1745407440.6066663,90.0,12513,0,0.0,4.0,12288.0
1745407441.6483376,74.9,12534,0,0.0,4.0,12288.0
1745407442.7005827,73.2,12538,0,0.0,4.0,12288.0
1745407443.8002326,92.5,12993,0,0.0,4.0,12288.0
1745407444.8466098,81.2,13087,0,0.0,4.0,12288.0
1745407445.8866694,78.6,13104,0,0.0,4.0,12288.0
1745407446.9251785,85.6,13116,0,0.0,4.0,12288.0
1745407447.9692483,82.9,13320,0,0.0,4.0,12288.0
1745407449.0034409,73.3,14600,0,0.0,4.0,12288.0
1745407450.0290425,74.5,14649,0,0.0,4.0,12288.0
1745407451.0613348,72.9,14609,0,0.0,4.0,12288.0
1745407452.0913222,67.8,15041,0,0.0,4.0,12288.0
1745407453.124847,64.9,16179,0,0.0,4.0,12288.0
1745407454.1573763,45.2,16266,0,0.0,4.0,12288.0
1745407455.2385135,23.7,16093,0,0.0,4.0,12288.0
1745407456.2620444,12.1,16092,0,0.0,4.0,12288.0
1745407457.2874606,10.3,16160,0,0.0,4.0,12288.0
1745407458.3113694,21.3,16105,0,0.0,4.0,12288.0
1745407459.350763,23.8,16087,0,0.0,4.0,12288.0
1745407460.3758924,39.0,16089,0,0.0,4.0,12288.0
1745407461.4053655,25.9,16082,0,0.0,4.0,12288.0
1745407462.434771,47.0,16086,0,0.0,4.0,12288.0
1745407463.46238,18.6,16030,0,0.0,4.0,12288.0
1745407464.4891274,50.5,16028,0,0.0,4.0,12288.0
1745407465.5176284,56.3,16029,0,0.0,4.0,12288.0
1745407466.543388,40.7,16031,0,0.0,4.0,12288.0
1745407467.5769844,58.9,16058,0,0.0,4.0,12288.0
1745407468.610693,66.2,16058,0,0.0,4.0,12288.0
1745407469.6398842,71.4,16096,0,0.0,4.0,12288.0
1745407470.6690097,71.8,16072,0,0.0,4.0,12288.0
1745407471.6993988,75.8,16074,0,0.0,4.0,12288.0
1745407472.72717,62.4,16087,0,0.0,4.0,12288.0
1745407473.7543468,60.6,16119,0,0.0,4.0,12288.0
1745407474.7915354,60.3,16126,0,0.0,4.0,12288.0
1745407475.827434,30.8,16380,0,0.0,4.0,12288.0
1745407476.8541288,10.3,16127,0,0.0,4.0,12288.0
1745407477.878636,11.7,16179,0,0.0,4.0,12288.0
1745407478.9059453,65.7,16101,0,0.0,4.0,12288.0
1745407479.9522731,61.6,16103,0,0.0,4.0,12288.0
1745407480.9853182,63.2,16100,0,0.0,4.0,12288.0
1745407482.019117,71.9,16095,0,0.0,4.0,12288.0
1745407483.053186,52.0,16113,0,0.0,4.0,12288.0
1745407484.078412,11.4,16161,0,0.0,4.0,12288.0
1745407485.106594,13.2,16108,0,0.0,4.0,12288.0
1745407486.1314523,20.8,16115,0,0.0,4.0,12288.0
1745407487.1602805,23.1,16116,0,0.0,4.0,12288.0
1745407488.1892025,59.3,16062,0,0.0,4.0,12288.0
1745407489.2160883,46.9,16087,0,0.0,4.0,12288.0
1745407490.243314,73.7,16368,0,0.0,4.0,12288.0
1745407491.2845342,65.1,16084,0,0.0,4.0,12288.0
1745407492.3163428,58.2,16083,0,0.0,4.0,12288.0
1745407493.3558154,88.2,16097,0,0.0,4.0,12288.0
1745407494.3930502,67.1,16094,0,0.0,4.0,12288.0
1745407495.4204988,60.6,16166,0,0.0,4.0,12288.0
1745407496.4523404,60.1,16119,0,0.0,4.0,12288.0
1745407497.4819455,56.9,16380,0,0.0,4.0,12288.0
1745407498.5103333,46.0,16089,0,0.0,4.0,12288.0
1745407499.5380125,13.2,16078,0,0.0,4.0,12288.0
1745407500.5633774,65.5,16092,0,0.0,4.0,12288.0
1745407501.6082065,83.8,16105,0,0.0,4.0,12288.0
1745407502.6773276,85.6,16107,0,0.0,4.0,12288.0
1745407503.7215972,84.4,16101,0,0.0,4.0,12288.0
