ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB,gpu_mem_total_MiB
1745410090.7512584,15.9,5168,0,4.0,758.0,12288.0
1745410091.772692,14.5,5565,0,0.0,1024.0,12288.0
1745410092.7953403,6.1,5641,0,64.0,1536.0,12288.0
1745410093.8192847,7.0,5669,0,28.0,1536.0,12288.0
1745410094.8410854,15.4,6194,0,100.0,3852.0,12288.0
1745410095.8630724,17.8,6359,0,4.0,4364.0,12288.0
1745410096.8853528,15.7,6362,0,0.0,4364.0,12288.0
1745410097.9147246,17.0,6343,0,100.0,4366.0,12288.0
1745410098.9420063,16.8,6617,0,0.0,6414.0,12288.0
1745410099.965419,28.0,6834,0,5.0,8462.0,12288.0
1745410100.9957533,24.2,6626,0,100.0,10510.0,12288.0
1745410102.0189755,19.0,6650,0,100.0,10510.0,12288.0
1745410103.0417829,18.1,6714,0,0.0,10510.0,12288.0
1745410104.0640495,22.5,6898,0,0.0,10510.0,12288.0
1745410105.0873783,23.3,7006,0,100.0,10510.0,12288.0
1745410106.1096864,22.1,6680,0,0.0,10510.0,12288.0
1745410107.1302755,21.6,6852,0,0.0,10510.0,12288.0
1745410108.1549456,21.5,6822,0,0.0,10510.0,12288.0
1745410109.1780257,20.8,6654,0,0.0,10510.0,12288.0
1745410110.198683,18.6,6591,0,0.0,10510.0,12288.0
1745410111.2191164,18.8,6556,0,0.0,10510.0,12288.0
1745410112.2420783,7.6,6581,0,0.0,10510.0,12288.0
1745410113.2625194,22.3,6638,0,100.0,10510.0,12288.0
1745410114.2861433,18.3,6751,0,55.0,10510.0,12288.0
1745410115.3062086,19.7,7276,0,0.0,10510.0,12288.0
1745410116.3295898,17.8,6621,0,0.0,10510.0,12288.0
1745410117.350049,18.3,6606,0,21.0,10510.0,12288.0
1745410118.3745644,19.0,6626,0,0.0,10510.0,12288.0
1745410119.3943408,14.5,6648,0,47.0,10510.0,12288.0
1745410120.4148064,20.1,6561,0,13.0,10510.0,12288.0
1745410121.435676,13.2,6568,0,0.0,10510.0,12288.0
1745410122.4557562,10.0,6556,0,0.0,10510.0,12288.0
1745410123.4773402,18.9,6883,0,47.0,10510.0,12288.0
1745410124.5010116,17.3,6593,0,11.0,10510.0,12288.0
1745410125.5217793,24.1,6706,0,79.0,10510.0,12288.0
1745410126.5465543,20.0,6770,0,0.0,10510.0,12288.0
1745410127.5671098,15.9,6708,0,0.0,10510.0,12288.0
1745410128.5877373,11.5,6713,0,0.0,10510.0,12288.0
1745410129.6078057,19.3,6771,0,0.0,10510.0,12288.0
1745410130.628232,17.7,6704,0,43.0,10510.0,12288.0
1745410131.648988,21.5,6591,0,45.0,10510.0,12288.0
1745410132.671406,12.1,6601,0,0.0,10510.0,12288.0
1745410133.6915936,16.4,6662,0,0.0,10510.0,12288.0
1745410134.718745,13.3,6712,0,0.0,10510.0,12288.0
1745410135.7404132,21.7,6737,0,0.0,10510.0,12288.0
1745410136.7715707,22.8,6815,0,0.0,10510.0,12288.0
1745410137.791157,21.9,7105,0,0.0,10510.0,12288.0
1745410138.8168528,20.2,6793,0,0.0,10510.0,12288.0
1745410139.8378558,21.1,7058,0,0.0,10510.0,12288.0
1745410140.8580947,12.1,6774,0,57.0,10510.0,12288.0
1745410141.8781543,13.7,6808,0,36.0,10510.0,12288.0
1745410142.899593,21.0,6773,0,100.0,10510.0,12288.0
1745410143.9260263,21.1,6786,0,0.0,10510.0,12288.0
1745410144.946055,23.9,6898,0,0.0,10510.0,12288.0
1745410145.973143,13.7,6661,0,64.0,10510.0,12288.0
1745410146.9936953,19.3,6647,0,43.0,10510.0,12288.0
1745410148.018927,18.5,6764,0,29.0,10510.0,12288.0
1745410149.0433066,21.2,7080,0,0.0,10510.0,12288.0
1745410150.066595,22.0,6753,0,0.0,10510.0,12288.0
1745410151.08723,20.4,6686,0,0.0,10510.0,12288.0
1745410152.1078472,17.6,6652,0,54.0,10510.0,12288.0
1745410153.1284702,13.1,6949,0,0.0,10510.0,12288.0
1745410154.1534576,16.6,6724,0,100.0,10510.0,12288.0
1745410155.1798627,20.4,6942,0,0.0,10510.0,12288.0
1745410156.209034,23.0,7331,0,0.0,10510.0,12288.0
1745410157.2323115,22.9,6720,0,100.0,10510.0,12288.0
1745410158.2635753,19.3,6888,0,0.0,10510.0,12288.0
1745410159.2949555,18.1,6764,0,0.0,10510.0,12288.0
1745410160.3147886,24.3,6713,0,0.0,10510.0,12288.0
1745410161.3344202,21.5,6790,0,0.0,10510.0,12288.0
1745410162.3541214,14.9,6735,0,0.0,10510.0,12288.0
1745410163.374858,20.8,6880,0,0.0,10510.0,12288.0
1745410164.399548,21.5,6864,0,0.0,10510.0,12288.0
1745410165.428282,21.2,7051,0,56.0,10510.0,12288.0
1745410166.448032,19.9,6816,0,0.0,10510.0,12288.0
1745410167.4769876,15.5,6685,0,0.0,10510.0,12288.0
1745410168.4972668,15.8,6686,0,100.0,10510.0,12288.0
1745410169.5248227,14.4,6772,0,0.0,10510.0,12288.0
1745410170.5558476,19.2,6701,0,7.0,10510.0,12288.0
1745410171.5856588,21.2,6740,0,0.0,10510.0,12288.0
1745410172.6058254,20.4,6800,0,0.0,10510.0,12288.0
1745410173.6266325,12.9,6756,0,67.0,10510.0,12288.0
1745410174.6535652,16.7,6763,0,0.0,10510.0,12288.0
