ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB,gpu_mem_total_MiB
1745406626.9526846,16.5,5504,0,40.0,390.0,12288.0
1745406627.980172,15.1,5631,0,0.0,1056.0,12288.0
1745406629.0011714,5.7,5791,0,0.0,1056.0,12288.0
1745406630.023694,22.7,6192,0,0.0,4038.0,12288.0
1745406631.0559094,16.1,6170,0,0.0,4038.0,12288.0
1745406632.0774958,17.7,6250,0,99.0,6690.0,12288.0
1745406633.1002874,20.1,6193,0,0.0,6690.0,12288.0
1745406634.1214588,8.1,6277,0,0.0,6690.0,12288.0
1745406635.1483495,18.8,6179,0,0.0,6690.0,12288.0
1745406636.1683786,11.3,6183,0,0.0,6690.0,12288.0
1745406637.1880224,10.8,6229,0,0.0,6690.0,12288.0
1745406638.2085125,23.8,6645,0,100.0,6690.0,12288.0
1745406639.23086,21.4,6352,0,0.0,6690.0,12288.0
1745406640.2513916,21.4,6375,0,0.0,6690.0,12288.0
1745406641.2756448,21.5,6216,0,0.0,6690.0,12288.0
1745406642.2981005,15.2,6334,0,100.0,6690.0,12288.0
1745406643.328472,20.6,6420,0,42.0,6690.0,12288.0
1745406644.3540745,6.2,6339,0,0.0,6690.0,12288.0
1745406645.3764362,10.2,6334,0,0.0,6690.0,12288.0
1745406646.399494,18.1,6335,0,0.0,6690.0,12288.0
1745406647.4202957,17.9,6414,0,100.0,6690.0,12288.0
1745406648.441267,22.3,6733,0,0.0,6690.0,12288.0
1745406649.466546,20.8,6357,0,0.0,6690.0,12288.0
1745406650.4864838,17.6,6372,0,14.0,6690.0,12288.0
1745406651.5097492,18.7,6375,0,0.0,6690.0,12288.0
1745406652.5299623,21.5,6416,0,0.0,6690.0,12288.0
1745406653.5525444,22.3,6618,0,0.0,6690.0,12288.0
1745406654.5780995,21.6,6514,0,0.0,6690.0,12288.0
1745406655.6085927,21.9,6405,0,100.0,6690.0,12288.0
1745406656.6409771,12.1,6404,0,0.0,6690.0,12288.0
1745406657.6594465,9.5,6387,0,100.0,6690.0,12288.0
1745406658.6784737,17.7,6452,0,0.0,6690.0,12288.0
1745406659.6999848,24.8,6574,0,0.0,6690.0,12288.0
1745406660.7241328,17.9,6394,0,100.0,6690.0,12288.0
1745406661.747115,21.2,6677,0,0.0,6690.0,12288.0
1745406662.7681897,14.2,6411,0,40.0,6690.0,12288.0
1745406663.7887537,12.4,6395,0,0.0,6690.0,12288.0
1745406664.8096576,20.9,6396,0,0.0,6690.0,12288.0
1745406665.8309164,9.3,6399,0,69.0,6690.0,12288.0
1745406666.8536718,8.1,6405,0,68.0,6690.0,12288.0
1745406667.8751097,18.0,6395,0,0.0,6690.0,12288.0
1745406668.8979523,20.2,6438,0,42.0,6690.0,12288.0
1745406669.9214516,18.0,6504,0,0.0,6690.0,12288.0
1745406670.9514759,21.3,6374,0,0.0,6690.0,12288.0
1745406671.9724221,23.5,6433,0,0.0,6690.0,12288.0
1745406672.9924622,21.2,6494,0,39.0,6690.0,12288.0
1745406674.014774,20.8,6401,0,0.0,6690.0,12288.0
1745406675.0349312,18.7,6396,0,0.0,6690.0,12288.0
