ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB,gpu_mem_total_MiB
1745411600.4322348,61.2,5118,0,0.0,4.0,12288.0
1745411601.4520805,30.3,5412,0,0.0,4.0,12288.0
1745411602.475719,23.5,5702,0,0.0,4.0,12288.0
1745411603.500222,58.2,5969,0,0.0,4.0,12288.0
1745411604.5267055,78.6,6324,0,0.0,4.0,12288.0
1745411605.5556543,84.7,6917,0,0.0,4.0,12288.0
1745411606.5827181,78.8,6923,0,0.0,4.0,12288.0
1745411607.6156483,76.8,7105,0,0.0,4.0,12288.0
1745411608.657674,90.1,7097,0,0.0,4.0,12288.0
1745411609.6982787,95.3,7176,0,0.0,4.0,12288.0
1745411610.7455857,86.1,7131,0,0.0,4.0,12288.0
1745411611.7852476,90.1,7363,0,0.0,4.0,12288.0
1745411612.8313982,95.9,8528,0,0.0,4.0,12288.0
1745411613.8769186,90.7,7223,0,0.0,4.0,12288.0
1745411614.9081135,84.6,7309,0,0.0,4.0,12288.0
1745411615.9891016,98.2,7334,0,0.0,4.0,12288.0
1745411617.0251372,83.9,7732,0,0.0,4.0,12288.0
1745411618.0520742,69.2,8489,0,0.0,4.0,12288.0
1745411619.082695,45.0,7204,0,0.0,4.0,12288.0
1745411620.1076653,30.5,7190,0,0.0,4.0,12288.0
1745411621.1374464,25.3,7211,0,0.0,4.0,12288.0
1745411622.1614037,12.4,7313,0,0.0,4.0,12288.0
1745411623.1937892,78.2,7636,0,0.0,4.0,12288.0
1745411624.2263293,74.2,7250,0,0.0,4.0,12288.0
1745411625.2595136,86.7,7502,0,0.0,4.0,12288.0
1745411626.3015342,84.7,7322,0,0.0,4.0,12288.0
1745411627.350084,62.4,7239,0,0.0,4.0,12288.0
1745411628.3842545,74.4,7236,0,0.0,4.0,12288.0
1745411629.4455564,83.0,7509,0,0.0,4.0,12288.0
1745411630.4744618,54.6,7145,0,0.0,4.0,12288.0
1745411631.5007625,29.3,7143,0,0.0,4.0,12288.0
1745411632.5313792,61.3,7147,0,0.0,4.0,12288.0
1745411633.5642092,45.1,7282,0,0.0,4.0,12288.0
1745411634.5995653,78.0,7490,0,0.0,4.0,12288.0
1745411635.6392694,80.7,7307,0,0.0,4.0,12288.0
1745411636.6844323,89.7,7348,0,0.0,4.0,12288.0
1745411637.7223554,88.4,7402,0,0.0,4.0,12288.0
1745411638.7597723,80.0,7296,0,0.0,4.0,12288.0
1745411639.7969873,85.8,7429,0,0.0,4.0,12288.0
1745411640.847213,92.6,7939,0,0.0,4.0,12288.0
1745411641.9093552,95.4,7935,0,0.0,4.0,12288.0
1745411642.9781919,96.6,7973,0,0.0,4.0,12288.0
1745411644.0506406,97.0,8628,0,0.0,4.0,12288.0
1745411645.0947177,93.5,8208,0,0.0,4.0,12288.0
1745411646.1454012,95.4,8896,0,0.0,4.0,12288.0
1745411647.2151606,93.7,8092,0,0.0,4.0,12288.0
1745411648.2634187,94.1,7884,0,0.0,4.0,12288.0
1745411649.3215592,92.8,7916,0,0.0,4.0,12288.0
1745411650.3563402,93.6,7832,0,0.0,4.0,12288.0
1745411651.404992,92.3,8585,0,0.0,4.0,12288.0
1745411652.446785,85.2,8723,0,0.0,4.0,12288.0
1745411653.4774985,62.6,7851,0,0.0,4.0,12288.0
1745411654.5265381,55.7,7822,0,0.0,4.0,12288.0
1745411655.554569,53.1,8092,0,0.0,4.0,12288.0
1745411656.594714,22.7,7555,0,0.0,4.0,12288.0
1745411657.619059,19.0,7523,0,0.0,4.0,12288.0
1745411658.6447184,47.1,7577,0,0.0,4.0,12288.0
1745411659.683012,14.1,7524,0,0.0,4.0,12288.0
1745411660.7095304,30.9,7517,0,0.0,4.0,12288.0
1745411661.734674,30.1,7506,0,0.0,4.0,12288.0
1745411662.7616546,18.3,7510,0,0.0,4.0,12288.0
1745411663.7881587,72.5,7967,0,0.0,4.0,12288.0
1745411664.8432744,88.6,8043,0,0.0,4.0,12288.0
1745411665.9136188,91.2,7805,0,0.0,4.0,12288.0
1745411666.9775214,94.4,8351,0,0.0,4.0,12288.0
1745411668.0235507,95.5,8248,0,0.0,4.0,12288.0
1745411669.0719965,93.1,7953,0,0.0,4.0,12288.0
1745411670.1258826,95.8,8002,0,0.0,4.0,12288.0
1745411671.1745179,97.3,7914,0,0.0,4.0,12288.0
1745411672.2337008,96.5,7985,0,0.0,4.0,12288.0
1745411673.296407,97.6,8153,0,0.0,4.0,12288.0
1745411674.3527236,94.7,7979,0,0.0,4.0,12288.0
1745411675.4028373,96.7,8431,0,0.0,4.0,12288.0
1745411676.4664748,95.7,8442,0,0.0,4.0,12288.0
1745411677.5353267,92.3,9384,0,0.0,4.0,12288.0
