ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB,gpu_mem_total_MiB
1745413110.0596719,53.9,4394,0,30.0,387.0,12288.0
1745413111.0811355,16.6,4480,0,32.0,387.0,12288.0
1745413112.102554,9.3,4842,0,20.0,625.0,12288.0
1745413113.1236892,8.3,4846,0,0.0,627.0,12288.0
1745413114.144394,8.5,4849,0,0.0,627.0,12288.0
1745413115.1648543,9.8,4913,0,0.0,627.0,12288.0
1745413116.1876488,15.1,5218,0,0.0,627.0,12288.0
1745413117.2094207,7.0,4892,0,0.0,627.0,12288.0
1745413118.2310793,9.2,5054,0,0.0,3233.0,12288.0
1745413119.2521236,12.7,5321,0,0.0,3233.0,12288.0
1745413120.2805443,11.1,5051,0,0.0,3233.0,12288.0
1745413121.302781,12.7,4968,0,33.0,3233.0,12288.0
1745413122.3246367,13.2,4977,0,0.0,3233.0,12288.0
1745413123.3460052,10.3,4989,0,0.0,3233.0,12288.0
1745413124.367291,11.1,5061,0,8.0,3233.0,12288.0
1745413125.387525,9.4,5091,0,7.0,3233.0,12288.0
1745413126.412347,11.3,5286,0,0.0,3233.0,12288.0
1745413127.4386156,12.6,5192,0,0.0,3233.0,12288.0
1745413128.4600086,11.9,5129,0,0.0,3233.0,12288.0
1745413129.4823325,13.7,5542,0,0.0,3233.0,12288.0
1745413130.5059514,11.2,5186,0,0.0,3233.0,12288.0
1745413131.5265987,14.6,5212,0,5.0,3233.0,12288.0
1745413132.5528626,14.5,5338,0,0.0,3233.0,12288.0
1745413133.5768063,12.1,5218,0,0.0,3233.0,12288.0
1745413134.5994039,11.3,5166,0,0.0,3233.0,12288.0
1745413135.6223016,11.4,5160,0,0.0,3233.0,12288.0
1745413136.6428695,12.3,5270,0,0.0,3233.0,12288.0
1745413137.67177,12.1,5164,0,0.0,3233.0,12288.0
1745413138.6933382,11.7,5170,0,38.0,3233.0,12288.0
1745413139.7151892,11.3,5183,0,0.0,3233.0,12288.0
1745413140.7347622,11.3,5191,0,38.0,3233.0,12288.0
1745413141.7557898,11.9,5188,0,0.0,3233.0,12288.0
1745413142.775603,6.5,5153,0,0.0,3233.0,12288.0
1745413143.7981892,5.4,5156,0,0.0,3233.0,12288.0
1745413144.8189063,12.1,5221,0,0.0,3233.0,12288.0
1745413145.8392882,8.5,5157,0,0.0,3233.0,12288.0
1745413146.8605912,8.8,5198,0,47.0,3233.0,12288.0
1745413147.881361,12.7,5416,0,0.0,3233.0,12288.0
1745413148.9056013,12.4,5162,0,0.0,3233.0,12288.0
1745413149.9255953,12.2,5142,0,0.0,3233.0,12288.0
1745413150.9467862,13.1,5145,0,0.0,3233.0,12288.0
1745413151.9664958,11.4,5160,0,0.0,3233.0,12288.0
1745413152.986478,11.2,5098,0,0.0,3233.0,12288.0
1745413154.0061448,11.4,5163,0,0.0,3233.0,12288.0
1745413155.0277884,12.6,5096,0,0.0,3233.0,12288.0
1745413156.0486512,10.4,5146,0,0.0,3233.0,12288.0
1745413157.0777853,9.9,5105,0,5.0,3233.0,12288.0
1745413158.098612,11.1,5115,0,0.0,3233.0,12288.0
1745413159.1183567,13.4,5137,0,0.0,3233.0,12288.0
1745413160.137633,11.1,5140,0,0.0,3233.0,12288.0
1745413161.158424,11.4,5137,0,58.0,3233.0,12288.0
1745413162.1792266,12.3,5147,0,0.0,3233.0,12288.0
1745413163.1988423,12.3,5156,0,0.0,3233.0,12288.0
1745413164.2226813,11.5,5188,0,0.0,3233.0,12288.0
1745413165.2421074,12.2,5476,0,0.0,3233.0,12288.0
1745413166.2656736,11.6,5166,0,0.0,3233.0,12288.0
1745413167.2907407,13.1,5412,0,0.0,3233.0,12288.0
1745413168.315473,11.4,5164,0,0.0,3233.0,12288.0
1745413169.3358908,11.8,5166,0,0.0,3233.0,12288.0
1745413170.3560622,11.4,5163,0,0.0,3233.0,12288.0
1745413171.3758817,12.7,5161,0,5.0,3233.0,12288.0
1745413172.399217,11.9,5299,0,0.0,3233.0,12288.0
1745413173.4203615,11.0,5159,0,0.0,3233.0,12288.0
1745413174.4402478,12.3,5157,0,0.0,3233.0,12288.0
1745413175.4607706,11.8,5153,0,0.0,3233.0,12288.0
1745413176.4799216,11.7,5143,0,0.0,3233.0,12288.0
1745413177.5046089,8.7,5149,0,0.0,3233.0,12288.0
1745413178.5290947,10.6,5158,0,50.0,3233.0,12288.0
1745413179.5533445,12.0,5512,0,0.0,3233.0,12288.0
1745413180.5766337,11.7,5166,0,0.0,3233.0,12288.0
1745413181.5981202,13.5,5153,0,19.0,3233.0,12288.0
1745413182.6226704,10.7,5249,0,0.0,3233.0,12288.0
1745413183.6474583,12.4,5153,0,0.0,3233.0,12288.0
1745413184.6669662,11.6,5212,0,0.0,3233.0,12288.0
1745413185.692087,11.7,5174,0,0.0,3233.0,12288.0
1745413186.7126167,12.5,5146,0,36.0,3233.0,12288.0
1745413187.7336583,12.9,5159,0,0.0,3233.0,12288.0
1745413188.7527926,12.3,5202,0,0.0,3233.0,12288.0
1745413189.772928,11.6,5283,0,0.0,3233.0,12288.0
1745413190.800593,11.6,5160,0,0.0,3233.0,12288.0
1745413191.8237026,12.8,5164,0,0.0,3233.0,12288.0
1745413192.8437831,10.3,5160,0,0.0,3233.0,12288.0
1745413193.863488,12.6,5240,0,0.0,3233.0,12288.0
1745413194.8825715,12.6,5438,0,0.0,3233.0,12288.0
1745413195.9067566,10.9,5170,0,0.0,3233.0,12288.0
1745413196.9307952,12.5,5224,0,0.0,3233.0,12288.0
1745413197.9497747,12.5,5448,0,0.0,3233.0,12288.0
1745413198.9728227,12.0,5161,0,24.0,3233.0,12288.0
1745413199.996763,11.2,5152,0,0.0,3233.0,12288.0
1745413201.018687,12.3,5152,0,0.0,3233.0,12288.0
1745413202.038185,13.2,5169,0,70.0,3233.0,12288.0
1745413203.0601249,7.9,5112,0,0.0,3233.0,12288.0
1745413204.0810866,11.3,5157,0,98.0,3233.0,12288.0
